;document_no;cominant_topic;topic_perc_contrib;keywords;tokens
19;19;3;0.3498;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['olivierfaure', 'questionspolitiques', 'sujet', 'lesquels', 'desaccord', 'historique', 'ben', 'oui', 'europe', 'otan', 'laicite', 'culture', 'gouvernement', 'nucleaire', 'communautarisme', 'retraite', 'etc']
20;20;4;0.2203;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['pillage', 'cereales', 'dirige', 'ver', 'crimee']
21;21;0;0.4137;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['soir', 'diffusion', 'grand', 'documentaire', 'donbass', 'achevement', 'moi', 'travail', 'terrain', 'esperant', 'cela', 'aide', 'mieux', 'comprendre', 'realite', 'bas', 'decouvrir', 'chaine', 'youtube', 'livre', 'noir']
22;22;0;0.4086;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['octobre', 'poutine', 'exprime', 'comment', 'debarrasser', 'isis', 'an', 'rue', 'leningrad', 'appris', 'regle', 'si', 'combat', 'inevitable', 'dois', 'frapper', 'premier', 'ukrainerussiawar', 'macronnousprendpourdescons']
23;23;0;0.5704;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['karpov', 'allemagne', 'convoi', 'arme', 'lourde', 'attendent', 'etre', 'envoyes', 'ici', 'stuttgart', 'imbeciles', 'font', 'absolument', 'tout', 'recevoir', 'frappe', 'murmure', 'milieu', 'bien']
24;24;1;0.325;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['change', 'epoque', 'echelle', 'enjeu', 'chacun', 'doit', 'faire', 'necessaire', 'preparer', 'moment', 'venu', 'droit', 'etre', 'rendez', 'communication', 'avril', 'dernier', 'cema', 'fr', 'conflit']
25;25;3;0.4483;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['appel', 'pontifex', 'fr', 'demande', 'ouverture', 'couloir', 'humanitaire', 'evacuer', 'civil', 'ville', 'martyre', 'marioupol', 'ville', 'marie']
26;26;0;0.2377;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['pourquoi', 'armee', 'tant', 'mal', 'envahir', 'nouvelle', 'video', 'lemondefr', 'supers', 'animation', 'adrienvanca', 'marceau', 'bre', 'merci', 'michel', 'goya', 'josephhenrotin', 'colinlebedev', 'aide', 'precieuse']
27;27;1;0.3941;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['arrivee', 'matin', 'accompagner', 'mission', 'humanitaire', 'lviv', 'kiev', 'invitation', 'collegue', 'vitaliy', 'klychko']
28;28;0;0.2811;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['direct', 'allemagne', 'reduit', 'fortement', 'dependance', 'energetique']
29;29;1;0.5031;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['allons', 'assister', 'chute', 'narratif', 'covid', 'chute', 'media', 'menteur', 'manipulateur', 'fakenews', 'falseflagus', 'bfm', 'cnews', 'tf']
30;30;3;0.4425;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['danemark', 'denonce', 'violation', 'espace', 'aerien', 'danois', 'avion', 'reconnaissance', 'convoque', 'ambassadeur', 'sujet', 'cet', 'incident', 'ukrainewar']
31;31;2;0.3456;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['rassemblement', 'national', 'toujours', 'fidele', 'banquier', 'standwithukraine']
32;32;4;0.4676;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['ministere', 'defense', 'tire', 'village', 'kiselevka', 'shirokaya', 'balka', 'region', 'kherson', 'bombardement', 'tue', 'civil', 'endommage', 'batiments', 'scolaire', 'cimetiere', 'terrain', 'jeu', 'cour', 'ecole']
33;33;0;0.3535;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['si', 'poutine', 'dirige', 'ver', 'declaration', 'officiel', 'meme', 'chanson', 'utilisera', 'tout', 'peut', 'avoir', 'lourd', 'frapper', 'sans', 'discuter', 'bon', 'courage', 'zelensky']
34;34;0;0.611;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['alerte', 'renseignement', 'britannique', 'pense', 'vladimir', 'poutine', 'pourrait', 'abandonner', 'operation', 'speciale', 'diriger', 'ver', 'declaration', 'officiel', 'selon', 'londres', 'poutine', 'preparerait', 'annonce', 'majeure', 'mai']
35;35;0;0.4532;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['arrive', 'prochaine', 'semaine', 'commentez', 'ci', 'dessou', 'dire', 'reportage', 'souhaitez', 'voir', 'produire']
36;36;0;0.3274;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['laurent', 'ozon', 'excellent', 'analyse', 'situation', 'quand', 'entends', 'generaux', 'francais', 'pousser', 'escalade', 'propos', 'prennent', 'encore', 'plus', 'force']
37;37;0;0.3271;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['rencontre', 'commandant', 'tchetchene', 'ligne', 'front', 'marioupol', 'demande', 'pensaient', 'tchetchenes', 'combattent', 'zelensky', 'fuient', 'grand', 'documentaire', 'disponible', 'maintenant']
38;38;0;0.4363;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['blackwater', 'ete', 'deploye', 'mercenaire', 'americains', 'vus', 'rue', 'donetsk', 'alors', 'affirme', 'mercenaire', 'arrives', 'pays']
39;39;0;0.304;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['moi', 'zone', 'combat', 'moi', 'partie', 'monde', 'boudee', 'media', 'moi', 'territoire', 'ennemi', 'donbass', 'pro', 'grand', 'documentaire', 'disponible', 'maintenant']
40;40;0;0.3514;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['ecoutez', 'bien', 'propos', 'diffamatoires', 'fr', 'comme', 'liberation', 'and', 'co', 'attaque', 'amp', 'diffames', 'etre', 'alles', 'donbass', 'laisse', 'faire', 'propre', 'opinion', 'nouveau', 'documentaire', 'ligne', 'front']
41;41;0;0.3157;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['excellente', 'analyse', 'qiao', 'dongzhuo', 'journaliste', 'indigne', 'fait', 'alliance', 'militaire', 'tete', 'etats', 'uni', 'disparaitre', 'jete', 'beaucoup', 'huile', 'feu', 'conflit', 'otan', 'cgtn', 'tv', 'chinois']
42;42;0;0.6037;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['quelle', 'arnaque', 'iis', 'vont', 'signer', 'accord', 'rien', 'ni', 'europe', 'ni', 'ni', 'otan', 'ni', 'retraitea', 'an', 'ni', 'nucleaire', 'ni', 'laicite', 'ni', 'illiberalisme', 'juste', 'accord', 'envie', 'battre', 'emmanuelmacron', 'minable']
43;43;4;0.2409;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['vendu', 'ressource', 'energetiques', 'valeur', 'milliard', 'euro', 'pendant', 'trois', 'principal', 'acheteur', 'allemagne', 'italie', 'chine', 'france', 'egalement', 'tete']
44;44;3;0.457;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['penetre', 'tranchees', 'faisant', 'face', 'tranchees', 'ukrainien', 'moins', 'metres', 'front', 'donetsk', 'bataillon', 'abkhaze', 'para', 'militaire', 'pro', 'russe', 'venu', 'caucase', 'recit', 'position']
45;45;4;0.6469;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['point', 'situation', 'retrouvez', 'toutes', 'information', 'mieux', 'comprendre', 'enjeu', 'crise', 'notredefense', 'florence', 'parly', 'hervegrandjean', 'gouvernementfr', 'etatmajorfr', 'armeedeterre', 'armee', 'lair', 'marinenationale']
46;46;2;0.4827;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['deputee', 'ukrainien', 'expliquait', 'offre', 'retour', 'ver', 'passe', 'alors', 'europe', 'offre', 'reve', 'kbolchak', 'journaliste', 'capa', 'presse', 'cpolitique']
47;47;2;0.3985;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['espere', 'france', 'va', 'prendre', 'leadership', 'europe', 'macron', 'doit', 'venir', 'kiev', 'oleksiy', 'goncharenko', 'depute', 'ukrainien', 'odessa', 'cpolitique']
48;48;0;0.3005;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['riche', 'ukrainien', 'installes', 'ds', 'hotels', 'luxe', 'tcheques']
49;49;2;0.342;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['poutine', 'perdu', 'moment', 'lance', 'premier', 'missile', 'oleksiy', 'goncharenko', 'depute', 'ukrainien', 'odessa', 'cpolitique']
50;50;0;0.4847;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['regime', 'ukrainien', 'arrete', 'citoyen', 'publication', 'reseaux', 'sociaux', 'aiment', 'soutiendrait', 'pays', 'comme', 'poutine', 'zelenski', 'donbass', 'guerreenukraine']
51;51;0;0.3007;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['rafael', 'nadal', 'exclure', 'russe', 'wimbledon', 'tres', 'injuste']
52;52;0;0.2396;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['usa', 'vont', 'envoyer', 'plus', 'milliard', 'dollar', 'alors', 'philadelphia', 'centre', 'ville', 'plupart', 'grand', 'ville', 'us', 'cet', 'etat']
53;53;3;0.4984;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['evacuation', 'civil', 'azovstal', 'commence', 'premier', 'groupe', 'environ', 'personne', 'dirige', 'ver', 'territoire', 'controle', 'va', 'accueillir', 'zaporijia', 'dit', 'president', 'ukrainien', 'zelensky', 'moscou', 'confirme', 'evacuation', 'civil', 'remis', 'onu']
54;54;0;0.2833;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['point', 'vue', 'france', 'tout', 'legal', 'point', 'vue', 'militaire', 'ukrainien', 'scandale', 'thales', 'admet', 'avoir', 'fourni', 'armee', 'cameras', 'infrarouge', 'jusqu', 'bien', 'apres', 'sanction', 'kremlin', 'via', 'parisien']
55;55;3;0.5153;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['marioupol', 'evacuation', 'civil', 'azovstal', 'commence', 'premier', 'groupe', 'environ', 'personne', 'femme', 'enfant', 'personne', 'agees', 'NDLR', 'dirige', 'deja', 'ver', 'zone', 'controlee', 'zelensky', 'ermai', 'miracle', 'standwithukraine', 'ukrainewillresist']
56;56;3;0.5208;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['evacuation', 'grand', 'mere', 'chien', 'assise', 'bus', 'lors', 'evacuation', 'ville', 'lyman', 'region', 'donetsk', 'avril', 'ap', 'photographer', 'evgueniy', 'maloletka']
57;57;0;0.3594;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['hubert', 'vedrine', 'phase', 'actuelle', 'dangereuse', 'cela', 'faut', 'traiter', 'enorme', 'sang', 'froid', 'americains', 'vont', 'peu', 'loin', 'hdedarius', 'dariusrochebin']
58;58;0;0.6583;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['affaiblessement', 'flanc', 'sud', 'otan', 'turquie', 'refuse', 'participer', 'exercice', 'otan', 'meeting', 'of', 'tigers', 'veut', 'stabilite', 'mer', 'noire', 'interdit', 'presence', 'navire', 'otan', 'bosphore', 'zelensky', 'poutine', 'kiev', 'azov']
59;59;3;0.536;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['thread', 'bonjour', 'bienvenue', 'nouveau', 'direct', 'civil', 'tues', 'donetsk', 'kharkiv', 'vise', 'fin', 'mai', 'celebre', 'comme', 'jour', 'victoire', 'direct']
60;60;1;0.361;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['deux', 'article', 'recents', 'deux', 'titre', 'montrent', 'combien', 'monde', 'hypocrite', 'combien', 'va', 'mal', 'pauvrete', 'etats', 'uni', 'mortalite', 'sans', 'abri', 'grimpe', 'fleche', 'joe', 'biden', 'veut', 'allouer', 'milliard', 'dollar', 'aide', 'supplementaire']
61;61;2;0.3244;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['putin', 'now', 'it', 'is', 'time', 'for', 'you', 'to', 'step', 'down', 'esp', 'engl', 'amp', 'peu', 'francais', 'insanecircus', 'anonymous', 'anonymiss', 'oprussia', 'slavaukraini', 'freeukraine']
62;62;0;0.4138;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['mercenaire', 'britannique', 'capture', 'russe', 'demandent', 'boris', 'johnson', 'echanger', 'contre', 'viktor', 'medvedchuk', 'detenu', 'zelensky', 'font', 'mercenaire', 'otan', 'bas', 'pourquoi', 'uk', 'veulent', 'censurer', 'twitter', 'verite', 'arrive', 'mi', 'boutcha']
63;63;3;0.4782;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['occidental', 'peuvent', 'continuer', 'livrer', 'arme', 'sans', 'etre', 'responsable', 'eme', 'mondiale', 'si', 'demain', 'poutine', 'marre']
64;64;3;0.6094;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['an', 'manifestant', 'opposes', 'coup', 'etat', 'maidan', 'ete', 'pourchasses', 'extremistes', 'ukrainien', 'brule', 'maison', 'syndicat', 'odessa', 'laquelle', 'etaient', 'refugies', 'personne', 'mort', 'jamais', 'oublier']
65;65;1;0.4317;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['respect', 'devant', 'travail', 'confrere', 'deniskataev', 'dont', 'chaine', 'ete', 'suspendue', 'amp', 'tente', 'depuis', 'pari', 'heberge', 'radiofrance', 'apporter', 'russe', 'information', 'fiable', 'tente', 'vain', 'piquer', 'plateau', 'france', 'fr']
66;66;3;0.4568;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['oui', 'femme', 'enfant', 'cible', 'essayent', 'detruire', 'avenir', 'viol', 'utilise', 'deliberement', 'tant', 'arme', 'contre', 'ukrainien', 'femeninna', 'elimartichoux']
67;67;0;0.3265;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['volodymyr', 'zelensky', 'impressionne', 'voyons', 'beaucoup', 'politicien', 'deviennent', 'clown', 'clown', 'devenu', 'veritable', 'leader', 'peuple', 'femeninna', 'elimartichoux']
68;68;0;0.5704;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['marco', 'cgr', 'quand', 'pense', 'jeune', 'battent', 'liberte', 'democratie', 'france', 'jeune', 'crient', 'victoire', 'destruction', 'enseigne', 'gourou', 'melenchon', 'bien', 'retourne', 'cerveau']
69;69;1;0.3956;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['donc', 'julienbayou', 'echange', 'conviction', 'republicaines', 'europeennes', 'humaniste', 'eelv', 'contre', 'poste', 'depute', 'copine', 'sandrine', 'etait', 'deja', 'bien', 'plus', 'rouge', 'vert', 'diront', 'electeurs', 'abandonner', 'poutine', 'jour', 'lendemain']
70;70;2;0.3;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['otan', 'france', 'etes', 'generaux', 'francais', 'generaux', 'otaniens', 'alors', 'defendez', 'bordel', 'merde', 'lieu', 'mener', 'parce', 'va', 'avoir', 'larme', 'sang', 'radiation', 'juvingbrunet']
71;71;3;0.3665;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['operation', 'evacuation', 'permis', 'sortir', 'centaine', 'civil', 'usine', 'azovstal', 'assiegee', 'force', 'russe', 'sud', 'autorites', 'ukrainien', 'prevoient', 'nouvelle', 'evacuations', 'marioupol', 'comme', 'explique', 'bastien', 'rnl', 'kiev']
72;72;3;0.553;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['bastien', 'rnl', 'tarekkai', 'lukeshrago', 'depuis', 'moi', 'force', 'invasion', 'russe', 'quitte', 'region', 'kiev', 'habitant', 'encore', 'mal', 'accepter', 'devastation', 'traumatisme', 'elles', 'laisse', 'sillage', 'gullivercragg', 'rendu', 'andriivka', 'kilomètre', 'capitale']
73;73;0;0.4322;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['escalade', 'parallele', 'laquelle', 'livreraient', 'foi', 'biden', 'poutine', 'rien', 'plus', 'faux', 'trait', 'egalite', 'entre', 'deux', 'presidents', 'arme', 'pays', 'agresse', 'defend', 'liberte', 'alors', 'autre', 'seme', 'mort', 'desolation', 'voudrait', 'ecraser']
74;74;0;0.5401;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['eloge', 'regiment', 'ukrainien', 'neonazi', 'azov', 'figaro', 'regiment', 'azov', 'ete', 'distingue', 'president', 'zelensky', 'commandant', 'recu', 'decoration', 'heros', 'quel', 'pays', 'ue', 'accepterait', 'neonazis', 'armee']
75;75;3;0.5191;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['asile', 'mecanismes', 'accueil', 'personne', 'fuyant', 'mis', 'place', 'toutes', 'tous', 'loge', 'meme', 'enseigne', 'quand', 'accueil', 'digne', 'tous', 'refugies']
76;76;0;0.3781;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['duo', 'entre', 'edsheeran', 'tara', 'topolya', 'groupe', 'pop', 'rock', 'ukrainien', 'antytila', 'offic', 'dont', 'membre', 'pris', 'arme']
77;77;3;0.5231;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['chaque', 'francais', 'francaise', 'rapproche', 'maison', 'met', 'garde', 'inna', 'shevchenko', 'femeninna', 'cc', 'elimartichoux']
78;78;1;0.4206;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['operation', 'militaire', 'contribue', 'liberation', 'monde', 'joug', 'neocolonial', 'occident', 'serguei', 'lavrov', 'ministre', 'affaire', 'etrangeres', 'poutine', 'guerreenukraine']
79;79;2;0.4612;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['etatsunis', 'ete', 'premier', 'voler', 'secours', 'union', 'europeenne', 'si', 'quelqu', 'entraine', 'autre', 'europe', 'non', 'inverse']
80;80;4;0.3461;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['lci', 'cause', 'retrouve', 'sudradio', 'ds', 'vraiesvoix', 'menu', 'accord', 'gauche', 'casseur', 'ermai', 'division', 'majo', 'toute', 'phdavidmtb', 'bilgerphilippe', 'question']
81;81;3;0.3336;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['depuis', 'debut', 'conflit', 'plusieurs', 'oligarque', 'russe', 'membre', 'famille', 'ete', 'retrouves', 'mort', 'deces', 'similitude', 'troublantes', 'suscitent', 'interrogation']
82;82;4;0.2734;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['moi', 'plusieurs', 'activiste', 'extinctionrebellion', 'pari', 'installe', 'gilet', 'couleur', 'statue', 'place', 'republique', 'manifester', 'soutien', 'pays', 'gilet', 'bleu', 'jaune', 'reste', 'place', 'plusieurs', 'semaine']
83;83;2;0.3891;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['lyubov', 'mykhailivna', 'panchenko', 'artiste', 'ukrainien', 'iconique', 'annees', 'opposant', 'kgb', 'mort', 'faim', 'maison', 'pendant', 'occupation', 'bucha', 'standwithukraine', 'stoprussia', 'stoprussianaggression']
84;84;0;0.5561;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['chef', 'diplomatie', 'compare', 'volodymyr', 'zelensky', 'hitler', 'aussi', 'sang', 'juif']
85;85;0;0.3536;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['europeens', 'arment', 'desormais', 'materiels', 'toujours', 'plus', 'performants', 'raison', 'europeens', 'americains', 'decide', 'entrer', 'profitant', 'affaiblissement', 'vladimir', 'poutine', 'devient', 'toujours', 'plus', 'dangereux']
86;86;3;0.3805;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['direct', 'denonce', 'antisemitisme', 'elites', 'russe', 'apres', 'comparaison', 'entre', 'hitler', 'zelensky', 'lavrov', 'gt']
87;87;0;0.2675;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['ww', 'americains', 'servent', 'amp', 'ukrainien', 'mener', 'travers', 'otan', 'contre', 'prepare', 'depuis', 'annees', 'dirigeant', 'ue', 'affilies', 'usa', 'complice', 'amp', 'entrainent', 'conflit', 'contre', 'interets']
88;88;3;0.3187;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['histoire', 'archeologie', 'scythe', 'patrimoine', 'tresors', 'scythe', 'musee', 'ukrainien', 'pilles', 'armee']
89;89;3;0.4426;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['voici', 'vetements', 'envoyez', 'jetes', 'veulent', 'envoye', 'plutot', 'colis', 'ami', 'guadeloupe', 'durement', 'touche', 'inondation']
90;90;0;0.3594;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['declaration', 'barbarapompili', 'amont', 'reunion', 'extraordinaire', 'conseil', 'energie', 'consacree', 'situation', 'energetique', 'contexte', 'pfue', 'tte']
91;91;0;0.4648;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['session', 'pleniere', 'parlement', 'europeen', 'mai', 'priorites', 'semaine', 'avenir', 'europe', 'cofoe', 'chargeur', 'universel', 'etat', 'droit', 'hongrie', 'pologne', 'intelligence', 'artificielle', 'ia', 'liberte', 'media', 'mai', 'plenpe']
92;92;0;0.3896;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['otan', 'battrai', 'jusqu', 'dernier', 'europeen', 'ainsi', 'pourrait', 'resumer', 'jusqu', 'boutisme', 'americain', 'complicite', 'ue', 'tribune', 'bruno', 'megret']
